id,value,risk
126,6141.07,2
127,4881.97,6
128,3614.71,5
129,7379.82,5
130,8553.61,3
131,3397.47,6
132,7580.30,6
133,7260.78,4
134,5085.62,8
135,7754.10,4
136,3760.87,4
137,8628.24,3
138,6970.93,8
139,1601.31,4
140,8000.61,8
141,7254.50,10
142,7948.75,8
143,8232.41,6
144,8502.83,10
145,9849.79,5
146,1291.27,9
147,6140.95,8
148,5428.75,7
149,1527.12,9
150,5345.76,2
151,5489.94,2
152,3285.60,4
153,7201.25,5
154,3877.96,1
155,152.47,8
156,1028.98,9
157,1038.57,10
158,1732.26,2
159,8976.34,10
160,4188.58,9
161,8474.59,8
162,3365.10,4
163,4232.02,1
164,524.07,6
165,6028.94,2
166,1661.67,10
167,4822.32,7
168,5727.52,8
169,5173.00,3
170,7111.68,3
171,6763.91,7
172,8511.11,3
173,7843.32,4
174,2898.92,7
175,3694.86,6
176,5053.44,7
177,2844.23,10
178,9750.08,8
179,5719.03,10
180,1225.32,7
181,4346.04,6
182,5491.69,2
183,5767.35,2
184,7275.37,5
185,5960.54,7
186,8180.56,8
187,8837.63,10
188,3728.26,2
189,6463.53,7
190,8400.91,8
191,968.58,1
192,9133.14,5
193,6134.23,2
194,5863.15,5
195,1610.61,6
196,9996.95,1
197,5894.75,5
198,7792.03,7
199,5174.79,5
200,747.14,5
201,4957.69,8
202,1758.63,9
203,4973.33,7
204,6890.73,2
205,6528.26,10
206,3588.57,7
207,5508.76,10
208,7671.22,1
209,5257.33,7
210,1770.14,8
211,7125.95,5
212,5472.08,3
213,4605.08,4
214,3389.63,10
215,409.96,10
216,7975.66,6
217,7050.04,8
218,3036.87,4
219,6394.52,8
220,5658.18,10
221,5166.24,8
222,5352.79,6
223,2640.02,6
224,1586.55,3
225,6991.71,9
226,3931.64,2
227,4546.67,4
228,2679.83,2
229,4824.31,4
230,4144.10,10
231,5887.27,6
232,1608.18,2
233,2606.43,8
234,5113.61,4
235,2476.18,5
236,6323.98,3
237,3397.73,8
238,6556.52,3
239,8134.71,9
240,9855.06,2
241,5085.78,10
242,9487.98,1
243,2670.27,10
244,6436.81,8
245,9447.18,1
246,5898.70,6
247,7455.29,1
248,1320.08,1
249,6947.06,2
250,1424.06,1
251,5373.94,1
252,663.67,10
253,7253.00,6
254,6755.24,1
255,8398.66,8
256,4805.40,1
257,3339.57,10
258,8083.29,1
259,7865.11,1
260,2902.54,9
261,5272.64,4
262,4220.40,4
263,9633.37,4
264,9442.61,9
265,8288.10,1
266,8208.89,4
267,8754.89,4
268,3447.51,8
269,8617.37,7
270,4206.55,9
271,6008.67,9
272,9328.75,8
273,9662.58,1
274,6228.54,5
275,1726.95,7
276,4299.00,5
277,587.16,5
278,3928.99,6
279,699.86,6
280,1004.71,2
281,9162.94,4
282,2021.82,5
283,5629.90,3
284,5617.01,2
285,802.82,9
286,4168.83,4
287,5601.44,10
288,1002.64,2
289,6108.36,9
290,9203.78,2
291,337.09,1
292,1794.26,5
293,9974.61,7
294,7415.24,2
295,631.85,2
296,3188.86,8
297,6319.89,6
298,7276.38,8
299,287.51,8
300,8125.58,9
301,3846.11,7
302,8488.94,2
303,5114.15,7
304,8128.87,4
305,9885.49,5
306,5499.29,4
307,122.07,1
308,1550.15,9
309,1352.71,6
310,6748.16,8
311,6896.49,4
312,9201.03,4
313,4096.58,10
314,8831.57,3
315,9329.38,1
316,1443.25,3
317,4533.52,4
318,1478.99,7
319,7376.53,9
320,2685.45,2
321,345.21,8
322,8795.90,2
323,5314.85,9
324,8933.95,5
325,236.00,8
326,4571.30,1
327,3093.88,2
328,1554.67,8
329,6270.80,5
330,4616.76,1
331,6807.38,6
332,5725.40,10
333,6152.14,1
334,7082.17,9
335,7054.55,5
336,5192.65,6
337,6945.60,3
338,2484.35,1
339,2017.66,4
340,5894.23,1
341,6225.44,10
342,8788.10,4
343,5451.53,8
344,9768.76,8
345,1387.95,6
346,3295.53,8
347,8462.09,1
348,6645.62,4
349,2967.69,4
350,2327.67,1
351,7945.60,4
352,6493.11,3
353,3192.30,3
354,1723.67,1
355,3866.37,5
356,6500.67,8
357,6724.51,7
358,6036.32,1
359,2170.31,9
360,7479.98,3
361,6565.12,6
362,1968.61,8
363,63.00,2
364,1892.55,4
365,4428.95,10
366,2074.58,4
367,5625.34,8
368,1445.91,6
369,1555.82,3
370,8038.67,4
371,4296.41,8
372,5648.01,5
373,2881.90,3
374,8951.54,8
375,622.12,7
376,3968.82,2
377,4771.60,7
378,8915.91,3
379,4850.21,8
380,3330.88,8
381,4098.71,3
382,44.97,3
383,446.02,4
384,9534.91,7
385,4365.40,9
386,1456.49,5
387,410.24,2
388,5924.02,3
389,2760.77,2
390,2219.71,1
391,7398.93,6
392,5099.88,3
393,586.04,2
394,6377.55,9
395,5077.72,4
396,9826.34,7
397,8311.33,10
398,1145.93,8
399,5886.41,4
400,7390.91,10
401,5679.42,1
402,5182.17,8
403,3446.46,1
404,7641.52,2
405,6734.56,2
406,2418.74,7
407,6213.51,6
408,8676.15,9
409,9430.16,1
410,8374.03,8
411,2658.23,10
412,5734.77,5
413,9556.81,9
414,80.76,5
415,7253.23,1
416,8228.06,2
417,9132.39,7
418,7813.32,9
419,850.36,10
420,7034.52,9
421,109.35,4
422,6649.22,1
423,8651.72,2
424,9207.41,6
425,5279.04,2
426,8565.39,9
427,3909.56,9
428,55.25,2
429,9591.43,2
430,1249.12,6
431,5734.27,2
432,3194.25,4
433,6758.51,6
434,8093.85,1
435,4946.16,3
436,7618.36,9
437,7972.83,4
438,4954.10,9
439,2776.26,3
440,7092.64,1
441,1847.90,5
442,3149.48,9
443,3402.63,8
444,1247.33,8
445,7275.02,5
446,4936.36,10
447,2802.92,1
448,9635.54,4
449,3791.75,9
450,7206.75,9
451,3210.71,1
452,9713.99,5
453,7269.78,6
454,1527.55,8
455,4582.14,1
456,7216.52,8
457,2255.51,4
458,3799.27,5
459,1910.94,5
460,2712.27,4
461,6134.69,1
462,4791.80,5
463,9974.36,9
464,1274.76,4
465,4442.58,5
466,3605.94,7
467,5148.83,6
468,3136.18,8
469,1104.13,10
470,9712.79,10
471,7303.55,1
472,1960.02,1
473,2164.19,2
474,5639.23,2
475,3461.70,1
476,3938.35,1
477,6655.23,10
478,1596.16,7
479,8913.32,5
480,5304.03,9
481,3651.12,8
482,5387.19,5
483,770.16,9
484,8045.95,7
485,267.59,5
486,5789.02,1
487,3572.40,3
488,3624.96,7
489,1396.23,2
490,5260.78,3
491,6488.45,3
492,2310.30,7
493,8295.96,1
494,8318.00,9
495,6893.30,2
496,1391.43,5
497,9817.01,8
498,5198.06,1
499,5667.56,8
500,8966.97,4
501,6994.84,2
502,6547.42,3
503,5428.40,10
504,1272.74,1
505,9027.06,3
506,3776.79,8
507,4085.28,7
508,582.72,6
509,6234.22,8
510,1459.24,9
511,2607.48,5
512,7601.75,10
513,3505.74,4
514,2686.99,8
515,7697.17,10
516,6966.02,4
517,5945.28,1
518,5656.19,4
519,7180.69,7
520,6977.10,10
521,6954.85,1
522,9915.14,3
523,8362.62,1
524,5017.59,2
525,7835.41,2
526,3689.77,10
527,7331.13,10
528,8231.23,1
529,7131.59,3
530,9491.35,7
531,259.92,3
532,4997.56,5
533,7411.34,6
534,3814.67,1
535,6121.01,9
536,6490.87,4
537,6946.71,9
538,8151.35,2
539,3904.54,6
540,9185.85,8
541,3849.60,3
542,2771.06,8
543,6435.54,7
544,8556.42,7
545,617.07,7
546,1764.61,2
547,7184.63,5
548,1412.29,3
549,7753.37,10
550,7696.50,6
551,6088.49,2
552,9326.91,3
553,6161.47,5
554,6880.30,5
555,5327.70,3
556,8433.05,1
557,9334.65,9
558,1768.87,2
559,6253.62,6
560,1497.06,4
561,8029.03,4
562,5242.59,1
563,4212.75,5
564,6629.90,4
565,2061.04,8
566,2681.91,2
567,8885.95,4
568,3252.98,9
569,6149.00,7
570,1626.93,7
571,3941.75,8
572,9.03,8
573,9305.93,6
574,5555.04,7
575,1296.97,10
576,1193.08,2
577,191.21,10
578,7848.71,3
579,2084.56,8
580,7975.72,4
581,4041.39,3
582,4378.93,8
583,8547.80,1
584,8200.79,9
585,326.10,7
586,8296.10,9
587,8511.41,7
588,3861.70,10
589,4112.65,8
590,8598.33,2
591,6824.52,9
592,8495.60,7
593,8273.47,8
594,4838.38,5
595,6226.97,8
596,7681.56,5
597,8133.37,1
598,3933.87,7
599,3459.47,8
600,4589.03,4
601,4928.98,5
602,1461.48,7
603,5120.02,3
604,9094.86,8
605,9540.65,6
606,9044.27,3
607,1762.83,4
608,3372.04,8
609,3357.48,9
610,1482.34,6
611,8042.91,4
612,9050.54,6
613,8848.95,3
614,2130.62,7
615,1328.43,3
616,1060.49,5
617,8442.22,10
618,2693.44,8
619,1134.71,3
620,1090.06,8
621,6641.83,4
622,4084.17,2
623,6977.81,10
624,9225.24,3
625,6979.02,10
626,8289.24,4
627,2802.26,7
628,5786.02,5
629,2340.82,6
630,7279.26,9
631,2006.74,1
632,6633.27,1
633,4504.41,7
634,3926.09,10
635,8273.09,5
636,4292.60,9
637,6290.13,7
638,1613.09,2
639,3898.09,10
640,4126.71,9
641,7646.88,7
642,3767.06,9
643,9134.32,1
644,9484.60,2
645,5196.66,1
646,1893.52,1
647,3165.23,10
648,2265.99,2
649,3290.25,7
650,863.34,6
651,9771.55,5
652,5661.50,10
653,3464.04,6
654,3176.97,2
655,8489.96,8
656,3963.92,6
657,8338.24,8
658,9723.79,8
659,5121.89,4
660,293.14,9
661,5459.93,4
662,3157.44,9
663,3819.14,4
664,6837.13,5
665,6369.28,3
666,1424.05,4
667,6655.08,4
668,3783.59,8
669,6255.69,8
670,3208.74,1
671,5583.83,5
672,2501.57,6
673,9970.67,9
674,4107.05,10
675,5996.87,3
676,5729.84,9
677,877.25,3
678,2181.03,1
679,705.41,8
680,2538.39,10
681,41.11,7
682,4226.17,4
683,8108.67,9
684,8651.66,10
685,4606.55,6
686,9553.56,1
687,8552.26,1
688,3357.07,7
689,5850.68,10
690,6382.85,7
691,8437.47,10
692,2669.49,1
693,9372.34,4
694,7045.02,5
695,2511.50,1
696,4682.11,6
697,2147.31,1
698,2110.06,10
699,950.27,5
700,7106.64,10
701,3769.60,8
702,283.06,3
703,9339.56,6
704,8889.98,4
705,2098.83,3
706,453.32,5
707,6466.89,1
708,7492.60,10
709,6746.52,9
710,4634.64,6
711,6955.76,6
712,922.80,5
713,7359.71,3
714,5700.74,10
715,3205.33,4
716,8943.85,1
717,7498.14,5
718,1798.66,6
719,3842.98,3
720,1005.49,2
721,9051.40,7
722,113.62,10
723,3953.70,9
724,9398.78,6
725,6605.77,2
726,6262.51,2
727,5719.39,5
728,4892.67,2
729,5945.46,9
730,2009.33,10
731,6782.86,1
732,8683.37,10
733,5961.12,9
734,3224.04,8
735,7645.42,2
736,8872.11,1
737,8638.61,5
738,2047.80,9
739,8713.66,7
740,1884.05,6
741,7514.36,10
742,2080.56,8
743,2229.94,9
744,9251.24,6
745,1008.47,7
746,3073.44,8
747,4253.10,8
748,8004.40,6
749,3385.05,5
750,2086.49,8
751,7099.73,7
752,8553.21,7
753,2739.45,8
754,1363.80,1
755,3213.17,2
756,7382.25,7
757,2375.04,6
758,9281.01,5
759,7296.38,5
760,3149.09,7
761,9207.50,9
762,9636.72,2
763,4726.73,8
764,3843.69,1
765,422.48,2
766,6287.53,9
767,764.54,10
768,9552.84,7
769,7513.01,1
770,4667.47,5
771,6874.24,4
772,70.57,2
773,5035.80,1
774,9086.40,2
775,7595.74,10
776,9105.52,4
777,9950.83,5
778,4867.40,1
779,3835.62,10
780,7158.10,2
781,6247.01,9
782,7362.42,10
783,6191.69,1
784,3275.41,1
785,8706.43,3
786,5675.71,10
787,4981.08,1
788,1839.04,9
789,9123.13,10
790,7528.76,8
791,2011.29,4
792,4300.43,7
793,8067.44,4
794,3115.92,3
795,2815.20,1
796,7351.12,9
797,5374.92,3
798,28.85,3
799,7065.21,3
800,8399.63,9
801,2939.36,10
802,8368.56,4
803,9188.18,5
804,6424.16,2
805,4101.99,10
806,5017.74,7
807,822.32,5
808,1280.14,8
809,4954.78,1
810,8711.64,9
811,1688.35,2
812,7363.56,4
813,4213.29,8
814,3024.62,10
815,5691.85,7
816,8166.31,6
817,9965.00,10
818,2680.49,4
819,4630.04,7
820,6706.58,3
821,3562.14,1
822,9697.88,8
823,2745.46,7
824,3077.36,4
825,3203.11,6
826,9798.55,7
827,1550.84,9
828,4428.20,9
829,2334.72,6
830,6234.44,6
831,5843.20,2
832,4580.41,9
833,907.75,10
834,7730.63,8
835,8632.34,4
836,172.81,7
837,731.23,3
838,9594.86,1
839,4827.53,3
840,7745.16,7
841,9696.38,5
842,2210.16,4
843,958.36,9
844,1488.60,5
845,3478.66,10
846,9105.72,5
847,949.33,10
848,4527.03,7
849,7477.35,1
850,7592.16,9
851,6024.82,1
852,7541.01,5
853,6214.32,6
854,8550.93,10
855,190.04,5
856,7305.07,10
857,2189.67,7
858,8383.31,4
859,1415.15,2
860,4281.88,8
861,1279.18,9
862,5353.49,1
863,2644.02,10
864,2801.49,7
865,7159.61,9
866,4600.72,7
867,6055.59,8
868,9550.87,10
869,2960.01,1
870,949.29,7
871,8625.13,2
872,6109.13,3
873,4363.23,7
874,6311.14,10
875,6964.09,7
876,9085.66,1
877,4719.45,7
878,8954.39,6
879,4661.58,2
880,7053.52,5
881,9383.76,3
882,5201.85,5
883,5907.12,1
884,6917.53,4
885,3453.12,10
886,227.60,3
887,5043.22,5
888,3616.16,8
889,4353.07,8
890,3535.12,7
891,2878.43,3
892,6128.94,1
893,8312.65,10
894,6429.61,5
895,7085.17,6
896,9645.44,5
897,7666.22,7
898,3337.55,5
899,5813.66,2
900,8449.51,6
901,4133.96,5
902,6180.51,8
903,772.07,4
904,6581.93,5
905,1758.06,9
906,1176.06,4
907,8455.08,3
908,3667.17,3
909,2009.55,8
910,417.05,9
911,5946.72,4
912,1424.45,4
913,2731.11,7
914,6371.87,1
915,780.34,3
916,2330.82,5
917,2044.14,1
918,6051.32,5
919,2707.52,4
920,5663.54,4
921,8123.66,9
922,3004.28,10
923,8909.44,10
924,7721.31,9
925,5832.56,3
926,9532.42,9
927,3178.42,3
928,2408.97,3
929,1607.19,4
930,8555.58,9
931,3903.81,10
932,5567.03,4
933,8698.94,9
934,4412.60,10
935,5315.74,4
936,1437.71,1
937,5902.18,8
938,4548.80,10
939,1371.79,10
940,2480.96,4
941,4236.42,8
942,9519.47,8
943,1915.74,5
944,4389.05,4
945,7701.39,3
946,7029.87,1
947,6294.35,5
948,6595.44,1
949,6186.23,1
950,6835.94,6
951,487.05,9
952,4833.30,4
953,889.61,8
954,7245.59,1
955,9985.26,1
956,6371.55,4
957,5195.41,5
958,689.24,5
959,2152.06,10
960,440.83,3
961,6848.99,10
962,5369.18,10
963,8599.68,8
964,6059.31,6
965,492.01,6
966,2350.80,10
967,241.29,2
968,6977.75,9
969,3139.02,6
970,2624.86,2
971,5105.34,4
972,8785.62,1
973,9017.11,7
974,6648.42,10
975,1744.81,10
976,6355.06,8
977,4340.21,1
978,9663.00,5
979,9130.23,7
980,746.18,1
981,7052.43,1
982,9692.32,5
983,7284.78,8
984,3457.64,1
985,1350.49,9
986,1537.49,3
987,1600.99,6
988,2478.16,3
989,1882.80,5
990,9316.70,2
991,7773.19,2
992,8979.70,10
993,7923.50,10
994,2136.81,3
995,3586.01,8
996,5690.17,5
997,3532.46,1
998,2338.26,9
999,8418.82,2
1000,7993.34,8
1001,5737.66,1
1002,3420.43,9
1003,1257.27,2
1004,6625.94,1
1005,9114.29,10
1006,5233.30,1
1007,3247.50,8
1008,6476.59,2
1009,1785.31,3
1010,7312.04,1
1011,1385.06,1
1012,9438.47,2
1013,4831.03,10
1014,7335.00,5
1015,5799.78,6
1016,527.69,2
1017,4370.77,2
1018,601.22,4
1019,4279.56,9
1020,5551.03,7
1021,3167.46,3
1022,8152.40,5
1023,4169.96,1
1024,5492.10,10
1025,6506.48,4
1026,5705.11,3
1027,3593.41,8
1028,7481.76,8
1029,5312.82,6
1030,2912.59,2
1031,1050.70,7
1032,4728.72,6
1033,7996.32,7
1034,2641.57,7
1035,4899.31,1
1036,8108.26,6
1037,1352.24,10
1038,2927.81,9
1039,1947.12,8
1040,242.01,10
1041,9995.11,6
1042,65.52,8
1043,7456.67,1
1044,8848.80,9
1045,3266.55,1
1046,9888.85,5
1047,7224.52,7
1048,9906.49,9
1049,8333.30,1
1050,5719.94,6
1051,6081.44,6
1052,2736.80,9
1053,8279.24,1
1054,5686.53,8
1055,6153.85,4
1056,8510.24,5
1057,4396.10,2
1058,9153.04,7
1059,2533.13,3
1060,864.99,6
1061,2589.88,7
1062,1862.56,5
1063,3618.82,4
1064,2343.92,7
1065,4845.90,1
1066,2053.31,6
1067,8333.16,3
1068,3175.85,9
1069,8032.89,3
1070,5291.55,4
1071,2648.89,9
1072,9561.85,10
1073,3977.17,7
1074,4053.90,10
1075,3428.44,5
1076,7075.07,10
1077,6700.81,6
1078,9195.69,4
1079,8442.13,10
1080,1041.80,7
1081,4992.88,3
1082,4357.88,9
1083,7614.48,7
1084,9844.26,2
1085,1071.14,5
1086,1093.54,6
1087,2041.93,3
1088,8969.94,7
1089,8991.47,1
1090,2036.07,4
1091,4131.84,4
1092,3329.84,6
1093,9675.71,1
1094,1784.70,2
1095,4331.83,8
1096,2877.68,9
1097,2953.46,4
1098,348.87,3
1099,7350.22,4
1100,1884.36,6
1101,851.79,3
1102,1971.71,8
1103,3512.29,6
1104,5356.71,10
1105,516.77,8
1106,2943.66,5
1107,8954.01,1
1108,7036.98,8
1109,9613.88,5
1110,5620.92,10
1111,1723.62,3
1112,2179.04,10
1113,1829.76,10
1114,2279.47,5
1115,9543.60,8
1116,4869.73,10
1117,5185.31,5
1118,1663.74,2
1119,8979.14,1
1120,4048.52,6
1121,1271.15,1
1122,3130.27,3
1123,5066.37,7
1124,4575.86,8
1125,9228.67,3
1126,8139.96,1
1127,5072.47,10
1128,9710.32,8
1129,4325.79,10
1130,6518.70,8
1131,9991.40,2
1132,9177.14,5
1133,7314.22,9
1134,5384.67,5
1135,2623.28,8
1136,2645.09,4
1137,7405.36,4
1138,1931.50,4
1139,1642.08,8
1140,1876.47,4
1141,8665.16,3
1142,7360.21,2
1143,6925.24,3
1144,6074.17,2
1145,6903.11,6
1146,8168.50,7
1147,2600.63,3
1148,4022.45,2
1149,1719.09,7
1150,2734.98,4
1151,760.52,8
1152,3502.67,3
1153,6271.64,8
1154,5676.48,3
1155,598.49,5
1156,3162.44,3
1157,5544.42,9
1158,9810.37,1
1159,4844.77,6
1160,4526.66,6
1161,2412.88,4
1162,5719.70,7
1163,7806.85,7
1164,2160.68,6
1165,9651.08,4
1166,1897.64,7
1167,7066.57,8
1168,8131.34,5
1169,5169.15,7
1170,4238.44,3
1171,3941.20,2
1172,2858.05,8
1173,7234.34,7
1174,2246.09,3
1175,6185.62,7
1176,8206.58,6
1177,6204.61,1
1178,747.25,4
1179,94.00,6
1180,250.02,10
1181,9391.01,2
1182,124.26,5
1183,8153.53,3
1184,8506.36,8
1185,6065.94,2
1186,5124.43,8
1187,2709.68,9
1188,5659.33,4
1189,346.95,10
1190,2155.63,6
1191,5721.33,3
1192,6778.86,1
1193,711.43,8
1194,7644.32,9
1195,9615.76,10
1196,9880.00,9
1197,6235.02,4
1198,5510.33,6
1199,4497.90,7
1200,293.54,7
1201,1297.53,1
1202,103.96,3
1203,2524.46,8
1204,9769.23,9
1205,2462.44,7
1206,2054.60,1
1207,1123.17,6
1208,7491.96,10
1209,3511.90,2
1210,8395.63,6
1211,2918.57,9
1212,4263.70,2
1213,7206.81,4
1214,5059.41,4
1215,1720.25,7
1216,2988.74,9
1217,5242.01,7
1218,9376.89,2
1219,735.88,3
1220,8296.89,4
1221,1079.59,5
1222,2569.79,8
1223,1290.61,5
1224,5649.37,8
1225,3868.42,10
1226,7389.71,10
1227,7766.09,6
1228,5593.99,1
1229,5496.38,8
1230,4036.57,8
1231,7216.30,7
1232,1971.36,4
1233,6971.69,1
1234,8280.17,2
1235,174.35,2
1236,3820.89,1
1237,4792.85,5
1238,9311.98,9
1239,2533.23,10
1240,9495.21,2
1241,2742.15,10
1242,1270.32,7
1243,7065.35,2
1244,8063.88,2
1245,9625.44,2
1246,1610.69,7
1247,7139.71,7
1248,7471.98,6
1249,8881.35,7
1250,1533.83,2
1251,4502.27,8
1252,1116.62,6
1253,1696.00,4
1254,8537.89,10
1255,7604.20,1
1256,4513.80,5
1257,1284.56,3
1258,8826.86,6
1259,6894.35,5
1260,1550.87,6
1261,2339.24,4
1262,7785.96,1
1263,8736.34,9
1264,5453.98,10
1265,6293.06,7
1266,25.91,4
1267,167.43,3
1268,3047.69,6
1269,12.29,2
1270,6601.21,10
1271,2585.40,3
1272,2143.36,6
1273,2805.52,5
1274,5923.91,5
1275,3631.30,9
1276,965.44,8
1277,4225.11,3
1278,6622.43,5
1279,3030.11,8
1280,5409.25,9
1281,3037.48,8
1282,5136.52,2
1283,9958.03,10
1284,4621.43,10
1285,5951.23,5
1286,8192.59,3
1287,6624.03,4
1288,7903.77,10
1289,3217.87,6
1290,469.76,9
1291,5185.37,10
1292,6263.52,7
1293,7057.44,1
1294,745.51,3
1295,2860.42,1
1296,67.98,7
1297,8011.84,2
1298,5600.92,1
1299,3159.19,3
1300,208.43,1
1301,3791.87,5
1302,8368.78,4
1303,9520.80,8
1304,3938.38,8
1305,4958.72,8
1306,2424.05,4
1307,1329.06,4
1308,8123.13,5
1309,1869.28,3
1310,2144.71,5
1311,1271.12,1
1312,2022.50,2
1313,7714.42,9
1314,1911.71,5
1315,7311.11,4
1316,8926.12,9
1317,3192.71,5
1318,3370.80,4
1319,2169.70,7
1320,969.87,9
1321,9387.14,9
1322,3844.49,4
1323,8132.07,10
1324,4284.92,9
1325,6750.55,2
1326,4261.26,10
1327,5251.03,8
1328,2265.20,4
1329,9755.56,2
1330,3259.99,1
1331,6568.73,2
1332,3186.48,5
1333,8728.10,5
1334,5231.20,4
1335,4849.32,10
1336,4670.17,2
1337,2658.53,7
1338,3972.58,9
1339,1496.76,6
1340,1556.98,3
1341,9372.68,5
1342,364.97,1
1343,9826.09,7
1344,5640.45,2
1345,2345.30,3
1346,2015.74,5
1347,1662.98,8
1348,5407.72,7
1349,6651.27,9
1350,5170.34,8
1351,8365.71,10
1352,1444.49,8
1353,75.47,2
1354,4358.43,1
1355,4795.20,1
1356,8483.50,4
1357,9239.95,9
1358,3219.96,7
1359,7502.99,2
1360,8210.67,9
1361,4757.54,3
1362,747.07,9
1363,6463.59,7
1364,7890.13,4
1365,3883.89,10
1366,781.74,3
1367,3046.88,5
1368,8629.36,6
1369,3915.25,2
1370,9024.67,9
1371,5607.74,3
1372,3677.68,9
1373,4667.31,2
1374,1039.65,6
1375,8064.40,1
1376,1536.41,3
1377,3770.78,9
1378,6778.71,10
1379,6143.43,1
1380,855.90,6
1381,4232.17,7
1382,2006.56,7
1383,588.74,2
1384,4104.75,10
1385,9733.79,2
1386,4669.34,4
1387,6563.15,6
1388,4818.56,1
1389,9484.80,9
1390,4730.67,9
1391,3715.75,4
1392,8870.49,6
1393,1085.42,6
1394,9289.42,9
1395,1944.48,10
1396,3653.04,9
1397,6829.57,8
1398,897.03,3
1399,3752.72,7
1400,320.26,7
1401,6146.30,8
1402,5907.96,4
1403,5280.35,8
1404,3311.98,4
1405,4468.50,2
1406,1425.86,9
1407,4583.64,8
1408,8266.22,9
1409,6717.62,8
1410,3948.59,9
1411,7545.29,9
1412,4123.36,4
1413,1806.06,6
1414,169.03,7
1415,8914.90,4
1416,7735.37,5
1417,3084.36,5
1418,554.54,8
1419,8411.67,3
1420,9615.63,7
1421,8498.08,10
1422,9306.42,2
1423,9565.65,2
1424,7599.69,9
1425,3369.70,4
1426,91.77,4
1427,2030.06,2
1428,1134.54,9
1429,8183.91,8
1430,5543.69,9
1431,6466.66,5
1432,2673.73,3
1433,3529.68,1
1434,9941.73,4
1435,4787.70,2
1436,4228.07,6
1437,4440.88,5
1438,8712.98,2
1439,7531.93,3
1440,6506.11,6
1441,6777.18,3
1442,5435.38,1
1443,4459.23,8
1444,5276.20,5
1445,9000.08,10
1446,6878.10,9
1447,4067.01,5
1448,4591.57,5
1449,3724.31,1
1450,9280.02,3
1451,2663.66,8
1452,9341.91,7
1453,4762.58,10
1454,4545.86,5
1455,3878.16,6
1456,230.17,4
1457,7032.24,3
1458,3330.42,6
1459,5041.69,5
1460,2720.10,7
1461,8655.14,1
1462,3084.99,2
1463,7746.34,10
1464,7760.08,2
1465,6857.51,8
1466,3055.98,3
1467,6067.41,3
1468,6160.98,8
1469,1864.42,2
1470,4954.31,4
1471,7430.18,7
1472,390.59,2
1473,5883.93,2
1474,7555.25,3
1475,7908.51,2
1476,7244.35,6
1477,7488.81,5
1478,5841.61,3
1479,5861.86,3
1480,2361.96,10
1481,5229.13,9
1482,469.60,1
1483,5248.93,7
1484,2881.61,8
1485,8146.96,4
1486,1314.88,4
1487,2700.16,7
1488,7658.56,5
1489,5014.76,7
1490,9647.44,5
1491,488.22,9
1492,5421.71,10
1493,8581.97,5
1494,7087.50,4
1495,904.51,9
1496,1.94,10
1497,5889.54,10
1498,5910.64,7
1499,6231.43,8
1500,8337.95,1
1501,800.44,10
1502,4498.76,10
1503,2494.32,4
1504,1350.37,4
1505,293.99,10
1506,3774.68,10
1507,4483.74,1
1508,9971.93,7
1509,1785.31,3
1510,5311.50,7
