value1,value2,riskMin
8154.86,9154.86,9
1164.73,2164.73,2
4221.98,5221.98,1
4401.42,5401.42,3
6662.17,7662.17,5
6093.53,7093.53,4
1503.99,2503.99,7
8398.32,9398.32,3
7089.38,8089.38,5
1645.33,2645.33,6
8979.37,9979.37,8
7632.37,8632.37,2
7941.68,8941.68,5
3817.66,4817.66,6
7856.58,8856.58,4
6132.64,7132.64,10
6615.49,7615.49,1
2914.27,3914.27,3
2100.10,3100.10,7
3684.40,4684.40,10
4550.71,5550.71,4
2677.26,3677.26,1
1439.48,2439.48,7
6178.98,7178.98,4
904.72,1904.72,10
2283.08,3283.08,3
2662.07,3662.07,5
3935.47,4935.47,3
6251.95,7251.95,7
7221.72,8221.72,9
4700.99,5700.99,7
6338.53,7338.53,4
6460.27,7460.27,7
8277.89,9277.89,10
6349.84,7349.84,1
2878.49,3878.49,9
1691.81,2691.81,3
706.93,1706.93,7
6587.32,7587.32,3
5063.61,6063.61,7
328.64,1328.64,2
458.26,1458.26,5
127.39,1127.39,3
8243.81,9243.81,1
2986.88,3986.88,5
6133.88,7133.88,3
8744.69,9744.69,4
793.02,1793.02,7
7907.41,8907.41,5
6709.37,7709.37,1
404.08,1404.08,8
7357.03,8357.03,3
195.23,1195.23,4
8797.63,9797.63,4
2163.08,3163.08,1
5606.66,6606.66,5
217.55,1217.55,3
7049.69,8049.69,8
2051.93,3051.93,5
4624.28,5624.28,1
6103.75,7103.75,2
3789.86,4789.86,10
5678.83,6678.83,6
8285.71,9285.71,2
7658.33,8658.33,6
3040.45,4040.45,2
3586.44,4586.44,10
3729.45,4729.45,5
1084.63,2084.63,7
2051.32,3051.32,3
3504.04,4504.04,7
4790.82,5790.82,2
1005.76,2005.76,2
4395.63,5395.63,6
3620.60,4620.60,7
5538.83,6538.83,10
3188.57,4188.57,3
3692.71,4692.71,9
5045.71,6045.71,8
5316.46,6316.46,7
5752.59,6752.59,10
3372.70,4372.70,7
8343.97,9343.97,1
1838.70,2838.70,3
7151.36,8151.36,4
7393.22,8393.22,10
4715.69,5715.69,6
1444.02,2444.02,7
2818.68,3818.68,6
8974.87,9974.87,3
1263.50,2263.50,5
6879.95,7879.95,5
2593.13,3593.13,10
6745.72,7745.72,10
7215.12,8215.12,2
498.99,1498.99,8
184.49,1184.49,6
4913.92,5913.92,7
8772.29,9772.29,4
5271.16,6271.16,3
4385.45,5385.45,3
6445.59,7445.59,10
1902.73,2902.73,7
2019.40,3019.40,6
5119.30,6119.30,6
6671.06,7671.06,8
2284.93,3284.93,10
8047.85,9047.85,1
5951.97,6951.97,4
4217.66,5217.66,5
6326.12,7326.12,2
4263.27,5263.27,7
5386.99,6386.99,1
8849.15,9849.15,4
2695.12,3695.12,9
1750.21,2750.21,6
8151.78,9151.78,8
6341.22,7341.22,1
808.89,1808.89,9
3922.07,4922.07,2
4118.39,5118.39,2
1335.23,2335.23,8
1771.21,2771.21,4
5065.64,6065.64,5
8372.25,9372.25,8
7567.70,8567.70,3
3143.34,4143.34,8
2665.02,3665.02,5
6938.35,7938.35,8
5585.95,6585.95,6
4809.67,5809.67,9
4034.46,5034.46,9
1529.47,2529.47,2
1129.14,2129.14,3
1939.65,2939.65,5
7816.12,8816.12,6
428.92,1428.92,5
5611.33,6611.33,6
1414.17,2414.17,6
1978.44,2978.44,5
7839.51,8839.51,2
5407.33,6407.33,4
4027.24,5027.24,3
1361.08,2361.08,5
1096.94,2096.94,3
963.83,1963.83,1
2659.80,3659.80,2
3191.80,4191.80,1
482.25,1482.25,10
7674.63,8674.63,6
3492.21,4492.21,2
4595.52,5595.52,7
4695.10,5695.10,3
3239.54,4239.54,7
3136.90,4136.90,1
7032.61,8032.61,4
7632.32,8632.32,6
1126.72,2126.72,4
2467.33,3467.33,2
1059.24,2059.24,2
19.66,1019.66,2
1267.75,2267.75,3
5448.59,6448.59,9
4370.35,5370.35,8
5778.01,6778.01,7
2206.17,3206.17,9
1666.80,2666.80,1
1952.46,2952.46,3
4176.63,5176.63,4
4302.36,5302.36,1
2658.49,3658.49,3
381.14,1381.14,9
6788.66,7788.66,10
7962.67,8962.67,4
4877.69,5877.69,7
2001.07,3001.07,6
2769.59,3769.59,1
3135.43,4135.43,7
4952.00,5952.00,5
2437.30,3437.30,6
8825.41,9825.41,7
8911.38,9911.38,6
6183.71,7183.71,7
4726.80,5726.80,2
8518.53,9518.53,8
2128.15,3128.15,4
1384.65,2384.65,9
6311.33,7311.33,9
2917.19,3917.19,4
6535.78,7535.78,8
2603.93,3603.93,10
2286.33,3286.33,7
6468.10,7468.10,5
698.41,1698.41,4
3045.44,4045.44,9
106.96,1106.96,8
4845.47,5845.47,8
234.53,1234.53,6
1080.08,2080.08,8
470.19,1470.19,9
7187.00,8187.00,6
2817.13,3817.13,7
3260.59,4260.59,7
240.89,1240.89,5
6896.19,7896.19,7
7133.84,8133.84,6
1340.96,2340.96,10
2097.65,3097.65,9
8197.16,9197.16,8
6546.61,7546.61,2
1604.89,2604.89,7
2428.88,3428.88,7
5046.12,6046.12,4
8777.87,9777.87,10
8110.78,9110.78,1
3908.35,4908.35,9
6301.92,7301.92,7
3604.54,4604.54,4
1473.30,2473.30,2
3978.39,4978.39,1
8253.30,9253.30,3
1269.11,2269.11,3
5410.56,6410.56,4
1133.94,2133.94,3
4507.05,5507.05,2
4356.32,5356.32,10
5794.30,6794.30,2
4757.27,5757.27,9
5717.83,6717.83,3
6959.06,7959.06,6
7327.64,8327.64,4
235.35,1235.35,3
8846.25,9846.25,4
5525.82,6525.82,8
7139.55,8139.55,10
4994.40,5994.40,9
3268.88,4268.88,5
3286.59,4286.59,9
598.20,1598.20,3
5811.27,6811.27,1
6635.16,7635.16,1
5271.39,6271.39,2
4000.98,5000.98,8
2572.76,3572.76,2
418.02,1418.02,1
3827.17,4827.17,6
2661.05,3661.05,2
7423.17,8423.17,2
2483.03,3483.03,6
4098.86,5098.86,4
3366.62,4366.62,6
3699.19,4699.19,5
2096.09,3096.09,7
7050.77,8050.77,10
8498.14,9498.14,9
2039.68,3039.68,5
1791.22,2791.22,10
4377.56,5377.56,9
6930.83,7930.83,5
8777.62,9777.62,3
6662.49,7662.49,8
689.51,1689.51,8
578.41,1578.41,3
2980.44,3980.44,9
3460.24,4460.24,5
2987.78,3987.78,8
7322.32,8322.32,9
8973.22,9973.22,10
5440.57,6440.57,7
8988.16,9988.16,2
8566.14,9566.14,2
4634.59,5634.59,1
114.48,1114.48,3
4859.62,5859.62,1
5624.85,6624.85,5
3335.53,4335.53,3
8791.64,9791.64,5
7451.65,8451.65,3
5143.45,6143.45,5
2843.68,3843.68,5
334.12,1334.12,2
7863.50,8863.50,10
2201.08,3201.08,7
2446.45,3446.45,5
6592.75,7592.75,5
8012.88,9012.88,4
3329.01,4329.01,8
8671.42,9671.42,4
3158.26,4158.26,7
681.41,1681.41,4
7408.95,8408.95,2
3377.00,4377.00,10
8929.55,9929.55,6
8822.98,9822.98,2
50.71,1050.71,8
6334.89,7334.89,7
3491.39,4491.39,3
4925.64,5925.64,2
7222.85,8222.85,10
2272.59,3272.59,6
4855.69,5855.69,7
3112.75,4112.75,3
450.10,1450.10,8
3341.91,4341.91,9
2007.41,3007.41,5
8878.42,9878.42,5
5038.59,6038.59,1
3141.43,4141.43,5
2203.87,3203.87,1
5790.17,6790.17,8
7459.46,8459.46,3
368.84,1368.84,5
3700.79,4700.79,1
2800.72,3800.72,8
7051.38,8051.38,8
8394.41,9394.41,2
661.46,1661.46,6
2623.23,3623.23,8
2600.12,3600.12,9
4120.88,5120.88,5
7384.14,8384.14,9
1802.80,2802.80,5
6550.04,7550.04,3
3377.15,4377.15,9
644.46,1644.46,3
8010.85,9010.85,6
701.10,1701.10,10
2343.85,3343.85,9
5174.49,6174.49,5
2781.48,3781.48,1
4268.90,5268.90,6
546.10,1546.10,1
7919.09,8919.09,9
7466.43,8466.43,3
8332.30,9332.30,5
7301.88,8301.88,6
8347.55,9347.55,7
5910.71,6910.71,9
3579.94,4579.94,2
1070.24,2070.24,10
7428.79,8428.79,9
8029.83,9029.83,9
8184.51,9184.51,3
6399.56,7399.56,4
3869.77,4869.77,3
7622.22,8622.22,6
1793.53,2793.53,5
488.92,1488.92,4
4386.93,5386.93,6
4882.63,5882.63,8
2411.33,3411.33,10
7210.45,8210.45,1
1442.59,2442.59,5
5931.83,6931.83,2
1164.91,2164.91,2
1623.41,2623.41,2
7392.08,8392.08,8
6470.30,7470.30,10
1073.32,2073.32,3
5975.24,6975.24,7
11.44,1011.44,5
1354.90,2354.90,8
3376.51,4376.51,2
5226.11,6226.11,5
4112.44,5112.44,5
2431.69,3431.69,7
6295.16,7295.16,9
2653.50,3653.50,3
403.63,1403.63,6
6510.75,7510.75,10
282.95,1282.95,6
856.05,1856.05,3
5970.01,6970.01,10
6602.21,7602.21,3
5559.51,6559.51,4
6852.39,7852.39,7
1065.56,2065.56,9
5840.90,6840.90,2
5565.67,6565.67,5
5193.22,6193.22,1
6232.48,7232.48,6
8291.58,9291.58,9
718.87,1718.87,2
2413.38,3413.38,9
1768.35,2768.35,2
2660.34,3660.34,2
6648.31,7648.31,3
3446.34,4446.34,7
6992.22,7992.22,5
6940.33,7940.33,10
807.44,1807.44,7
1115.05,2115.05,6
644.82,1644.82,6
7023.30,8023.30,3
1772.08,2772.08,2
6669.96,7669.96,4
8676.85,9676.85,9
1131.45,2131.45,9
2579.92,3579.92,2
5845.40,6845.40,3
1007.24,2007.24,2
8616.68,9616.68,7
6521.48,7521.48,8
2686.81,3686.81,1
1994.31,2994.31,6
4774.18,5774.18,9
2892.56,3892.56,1
711.50,1711.50,7
2076.07,3076.07,8
5094.49,6094.49,7
3326.48,4326.48,8
6909.59,7909.59,8
7568.36,8568.36,5
7086.62,8086.62,8
4573.94,5573.94,3
8887.14,9887.14,9
3024.33,4024.33,1
8935.50,9935.50,7
5546.22,6546.22,4
1674.16,2674.16,6
966.48,1966.48,7
7782.31,8782.31,4
8309.11,9309.11,8
6550.99,7550.99,8
4610.51,5610.51,8
4044.00,5044.00,6
3662.18,4662.18,1
7732.00,8732.00,10
4362.03,5362.03,1
7612.65,8612.65,8
1280.27,2280.27,8
7038.39,8038.39,7
134.47,1134.47,2
3920.12,4920.12,4
3875.16,4875.16,7
5304.64,6304.64,7
1706.73,2706.73,5
8133.18,9133.18,6
3870.81,4870.81,9
7318.93,8318.93,5
7507.02,8507.02,10
1301.31,2301.31,2
3011.31,4011.31,3
2576.66,3576.66,1
16.68,1016.68,9
7246.14,8246.14,9
3646.50,4646.50,9
5120.14,6120.14,2
872.74,1872.74,5
8720.40,9720.40,1
8095.73,9095.73,8
4695.95,5695.95,1
4196.55,5196.55,10
1725.05,2725.05,4
79.03,1079.03,1
5444.36,6444.36,8
8469.04,9469.04,6
4438.57,5438.57,5
6250.93,7250.93,8
261.29,1261.29,2
2741.78,3741.78,3
7549.29,8549.29,7
71.23,1071.23,9
871.30,1871.30,3
6241.43,7241.43,2
2692.86,3692.86,1
2718.20,3718.20,5
4906.89,5906.89,10
7667.11,8667.11,10
2467.13,3467.13,2
2282.45,3282.45,3
6903.10,7903.10,2
2165.43,3165.43,2
5148.03,6148.03,4
7785.91,8785.91,1
6942.63,7942.63,1
6112.51,7112.51,4
4765.75,5765.75,3
4534.20,5534.20,6
1691.72,2691.72,9
3250.04,4250.04,10
7861.68,8861.68,8
4237.53,5237.53,9
5075.64,6075.64,1
2273.93,3273.93,4
3754.47,4754.47,8
7202.53,8202.53,7
3790.24,4790.24,5
4815.99,5815.99,4
4959.04,5959.04,9
6605.13,7605.13,9
7025.20,8025.20,4
4595.97,5595.97,9
4965.10,5965.10,10
1473.15,2473.15,7
1090.10,2090.10,2
2853.74,3853.74,7
570.42,1570.42,4
8030.68,9030.68,5
4348.04,5348.04,4
5547.94,6547.94,9
3538.78,4538.78,3
6648.94,7648.94,2
7845.65,8845.65,10
7071.83,8071.83,4
409.45,1409.45,9
6897.86,7897.86,8
4014.21,5014.21,1
7781.63,8781.63,1
7703.17,8703.17,5
4356.46,5356.46,2
5645.39,6645.39,3
7645.87,8645.87,6
1664.27,2664.27,2
601.17,1601.17,4
1216.73,2216.73,8
7041.01,8041.01,3
4647.68,5647.68,1
499.31,1499.31,4
6365.93,7365.93,2
2671.25,3671.25,2
8636.27,9636.27,4
6866.95,7866.95,10
4558.76,5558.76,8
7858.83,8858.83,5
1475.71,2475.71,8
6150.89,7150.89,4
7540.30,8540.30,2
3909.83,4909.83,10
8792.83,9792.83,1
4932.61,5932.61,3
1142.36,2142.36,8
1833.73,2833.73,9
3254.60,4254.60,10
5267.29,6267.29,8
2186.55,3186.55,8
8601.53,9601.53,7
600.37,1600.37,3
7625.60,8625.60,1
2181.31,3181.31,7
1134.47,2134.47,7
7492.65,8492.65,5
7133.69,8133.69,9
6975.41,7975.41,1
2885.86,3885.86,4
3673.04,4673.04,10
2962.88,3962.88,6
4577.91,5577.91,3
7823.63,8823.63,9
7651.71,8651.71,7
1833.37,2833.37,10
4667.70,5667.70,2
3747.12,4747.12,5
7410.23,8410.23,2
4314.37,5314.37,4
1439.71,2439.71,2
4633.68,5633.68,5
3550.29,4550.29,6
1748.11,2748.11,10
2022.65,3022.65,7
5358.25,6358.25,4
8402.31,9402.31,2
4440.65,5440.65,3
3767.32,4767.32,6
8961.66,9961.66,8
5728.28,6728.28,6
2162.54,3162.54,10
2867.45,3867.45,3
3254.68,4254.68,6
1459.37,2459.37,6
4825.21,5825.21,10
8517.59,9517.59,3
2076.61,3076.61,10
3028.90,4028.90,2
6451.75,7451.75,10
726.55,1726.55,3
8918.32,9918.32,8
5161.55,6161.55,3
2676.09,3676.09,1
939.33,1939.33,7
2854.94,3854.94,4
8806.72,9806.72,10
3083.04,4083.04,6
8335.80,9335.80,1
2095.43,3095.43,3
2342.43,3342.43,8
6769.20,7769.20,5
6489.49,7489.49,8
7774.13,8774.13,3
8292.80,9292.80,10
5756.79,6756.79,9
4512.06,5512.06,7
8508.79,9508.79,4
3898.04,4898.04,9
947.37,1947.37,5
8767.84,9767.84,4
403.75,1403.75,10
4738.69,5738.69,4
2450.43,3450.43,8
5213.32,6213.32,3
555.33,1555.33,10
4764.76,5764.76,7
574.72,1574.72,2
7756.69,8756.69,4
7235.61,8235.61,10
1020.62,2020.62,7
1911.44,2911.44,1
4207.26,5207.26,2
6104.86,7104.86,1
4827.86,5827.86,3
7574.62,8574.62,8
5219.72,6219.72,3
7390.77,8390.77,8
6413.70,7413.70,5
3271.22,4271.22,6
7567.77,8567.77,10
2633.49,3633.49,2
2910.28,3910.28,10
5852.78,6852.78,10
8399.83,9399.83,1
3531.58,4531.58,9
8242.73,9242.73,7
4921.79,5921.79,5
5239.89,6239.89,8
2637.58,3637.58,7
847.92,1847.92,1
7923.31,8923.31,9
6161.26,7161.26,3
2190.39,3190.39,5
6082.35,7082.35,7
5610.20,6610.20,6
3152.47,4152.47,7
6579.33,7579.33,7
982.49,1982.49,3
6416.20,7416.20,1
4444.38,5444.38,2
4704.28,5704.28,5
6113.49,7113.49,10
8863.24,9863.24,4
1816.00,2816.00,1
1514.93,2514.93,9
5197.25,6197.25,2
4848.46,5848.46,2
7344.29,8344.29,8
7016.34,8016.34,7
8146.79,9146.79,5
6355.77,7355.77,2
6019.99,7019.99,10
48.96,1048.96,2
883.54,1883.54,2
2589.39,3589.39,8
7285.26,8285.26,5
5769.20,6769.20,1
1695.40,2695.40,2
2680.74,3680.74,5
2139.46,3139.46,3
1346.07,2346.07,2
1957.44,2957.44,8
5341.63,6341.63,3
8643.14,9643.14,3
1375.24,2375.24,4
320.53,1320.53,1
2167.49,3167.49,9
1674.67,2674.67,3
1611.18,2611.18,10
5246.08,6246.08,9
5695.43,6695.43,3
6766.34,7766.34,7
3100.32,4100.32,6
5282.72,6282.72,8
2927.17,3927.17,3
1980.95,2980.95,5
2724.26,3724.26,7
7232.15,8232.15,8
4392.29,5392.29,1
2663.40,3663.40,6
4644.41,5644.41,7
4310.08,5310.08,8
2179.99,3179.99,10
2697.60,3697.60,4
3583.66,4583.66,1
4282.80,5282.80,8
8857.21,9857.21,9
3661.34,4661.34,6
242.30,1242.30,6
4041.75,5041.75,3
8138.89,9138.89,1
4154.86,5154.86,4
2173.90,3173.90,10
8095.47,9095.47,8
1325.36,2325.36,7
1093.80,2093.80,5
8941.59,9941.59,1
7420.77,8420.77,5
5287.52,6287.52,6
3027.73,4027.73,8
6429.72,7429.72,3
7168.59,8168.59,1
6499.25,7499.25,2
1551.82,2551.82,9
2442.39,3442.39,3
4995.14,5995.14,10
1797.83,2797.83,9
3712.94,4712.94,3
2617.17,3617.17,9
7648.93,8648.93,1
5126.59,6126.59,3
3422.01,4422.01,10
3704.82,4704.82,10
1738.93,2738.93,1
7083.36,8083.36,10
8332.58,9332.58,9
4196.20,5196.20,6
919.95,1919.95,3
2187.04,3187.04,2
3348.68,4348.68,6
8445.10,9445.10,2
1627.69,2627.69,5
7079.27,8079.27,3
4913.02,5913.02,6
8965.71,9965.71,10
1777.17,2777.17,4
5517.45,6517.45,5
3885.71,4885.71,2
2650.14,3650.14,5
8793.01,9793.01,2
4778.30,5778.30,3
7152.25,8152.25,8
7722.84,8722.84,2
986.69,1986.69,7
690.55,1690.55,9
5953.05,6953.05,8
1342.62,2342.62,9
8640.78,9640.78,9
834.55,1834.55,3
3271.67,4271.67,1
6692.83,7692.83,6
3441.84,4441.84,6
5791.44,6791.44,7
8779.90,9779.90,10
4025.44,5025.44,8
5845.82,6845.82,9
6672.36,7672.36,2
1750.22,2750.22,3
5603.67,6603.67,9
20.71,1020.71,2
408.61,1408.61,9
6802.75,7802.75,9
5523.90,6523.90,4
5632.98,6632.98,3
507.91,1507.91,2
3259.10,4259.10,6
4491.79,5491.79,5
7603.90,8603.90,10
8673.30,9673.30,9
2491.54,3491.54,8
6328.09,7328.09,6
5220.23,6220.23,10
1004.08,2004.08,8
3854.68,4854.68,5
8130.96,9130.96,10
1536.64,2536.64,7
4540.95,5540.95,6
2300.44,3300.44,2
15.43,1015.43,6
1734.05,2734.05,3
936.74,1936.74,3
445.23,1445.23,6
8375.41,9375.41,7
8113.89,9113.89,9
1712.98,2712.98,9
882.69,1882.69,8
5904.54,6904.54,9
310.81,1310.81,9
3251.47,4251.47,10
1723.81,2723.81,1
6702.03,7702.03,6
3429.23,4429.23,2
8644.57,9644.57,1
5369.46,6369.46,5
2756.65,3756.65,1
3469.67,4469.67,8
7234.31,8234.31,4
3155.15,4155.15,9
3822.76,4822.76,4
160.16,1160.16,8
8976.11,9976.11,4
8893.12,9893.12,9
4099.75,5099.75,2
7183.58,8183.58,6
6208.92,7208.92,8
6218.71,7218.71,8
7419.53,8419.53,5
5562.40,6562.40,9
5461.12,6461.12,3
3633.55,4633.55,1
3602.88,4602.88,1
3384.39,4384.39,4
7204.41,8204.41,8
8942.91,9942.91,3
6828.13,7828.13,1
3114.86,4114.86,10
8042.52,9042.52,2
7483.65,8483.65,1
8874.52,9874.52,10
916.40,1916.40,6
1414.32,2414.32,5
6817.61,7817.61,2
2865.61,3865.61,2
894.63,1894.63,3
5152.14,6152.14,5
6966.50,7966.50,3
2098.97,3098.97,9
1199.95,2199.95,2
7986.93,8986.93,7
6442.01,7442.01,10
3958.00,4958.00,7
5867.56,6867.56,3
8574.79,9574.79,6
7291.12,8291.12,10
58.50,1058.50,7
7082.12,8082.12,1
8750.43,9750.43,9
3754.82,4754.82,3
280.40,1280.40,5
1855.72,2855.72,10
8328.72,9328.72,10
2407.83,3407.83,10
3316.32,4316.32,2
8536.47,9536.47,4
2883.75,3883.75,2
3401.24,4401.24,1
8771.23,9771.23,4
8986.27,9986.27,6
5968.27,6968.27,1
1616.28,2616.28,9
657.11,1657.11,7
8027.06,9027.06,6
8295.02,9295.02,10
5718.15,6718.15,1
1625.38,2625.38,6
2939.63,3939.63,5
6512.41,7512.41,5
5690.55,6690.55,3
7296.54,8296.54,9
8473.73,9473.73,2
6563.99,7563.99,7
2964.54,3964.54,1
5208.13,6208.13,1
7295.82,8295.82,5
2844.53,3844.53,4
4615.51,5615.51,9
2880.13,3880.13,8
847.00,1847.00,7
3743.65,4743.65,1
1788.27,2788.27,5
4262.03,5262.03,9
7728.29,8728.29,5
5914.06,6914.06,10
4877.20,5877.20,7
2894.50,3894.50,9
5479.96,6479.96,4
2098.02,3098.02,5
5503.35,6503.35,7
803.82,1803.82,10
1713.37,2713.37,7
5399.77,6399.77,6
2817.63,3817.63,5
3809.96,4809.96,5
6213.15,7213.15,9
7979.62,8979.62,10
8553.75,9553.75,3
3226.19,4226.19,7
7811.25,8811.25,10
667.29,1667.29,5
7850.15,8850.15,5
6063.88,7063.88,8
6485.53,7485.53,7
5519.31,6519.31,10
7560.14,8560.14,3
831.30,1831.30,2
5430.83,6430.83,6
2870.06,3870.06,1
1336.78,2336.78,8
2877.67,3877.67,1
450.27,1450.27,9
4615.09,5615.09,9
7585.24,8585.24,4
5328.72,6328.72,6
1315.92,2315.92,8
3903.37,4903.37,10
2652.33,3652.33,10
4878.09,5878.09,6
1128.74,2128.74,6
5863.42,6863.42,6
7711.64,8711.64,9
4729.71,5729.71,8
2784.23,3784.23,6
3625.00,4625.00,4
6402.48,7402.48,8
4564.57,5564.57,2
6519.51,7519.51,8
4577.72,5577.72,6
4702.40,5702.40,4
4562.86,5562.86,5
6013.42,7013.42,5
4304.13,5304.13,6
1924.43,2924.43,2
8829.59,9829.59,10
2451.12,3451.12,3
8883.34,9883.34,6
4410.48,5410.48,7
2423.40,3423.40,5
1399.67,2399.67,7
5651.58,6651.58,7
4078.03,5078.03,9
8997.53,9997.53,7
5808.12,6808.12,6
4066.96,5066.96,4
3717.31,4717.31,1
5548.68,6548.68,7
6214.69,7214.69,1
6019.75,7019.75,1
2934.74,3934.74,10
6200.56,7200.56,5
4569.73,5569.73,6
890.30,1890.30,3
113.65,1113.65,10
4387.01,5387.01,7
5455.82,6455.82,3
6440.05,7440.05,7
6288.25,7288.25,1
2355.73,3355.73,5
878.48,1878.48,4
3454.29,4454.29,7
4587.78,5587.78,5
3995.26,4995.26,3
8921.78,9921.78,3
6088.00,7088.00,3
2947.60,3947.60,7
4547.92,5547.92,5
4103.50,5103.50,1
2419.42,3419.42,10
1256.59,2256.59,7
6562.25,7562.25,10
1152.77,2152.77,10
6533.27,7533.27,6
3527.74,4527.74,4
6257.11,7257.11,1
3578.75,4578.75,2
5951.52,6951.52,2
3164.23,4164.23,9
6410.96,7410.96,5
8949.24,9949.24,4
8741.77,9741.77,3
4926.71,5926.71,1
7595.55,8595.55,10
381.25,1381.25,9
5669.35,6669.35,9
5881.29,6881.29,8
481.78,1481.78,9
2727.10,3727.10,4
8251.55,9251.55,2
7870.69,8870.69,9
4542.26,5542.26,10
4167.50,5167.50,8
7121.56,8121.56,3
7963.76,8963.76,7
2542.22,3542.22,2
6980.34,7980.34,3
7241.58,8241.58,2
4819.24,5819.24,4
76.86,1076.86,7
8708.54,9708.54,9
5915.06,6915.06,4
8977.18,9977.18,10
6205.59,7205.59,10
2602.99,3602.99,1
4354.52,5354.52,9
3153.36,4153.36,7
123.81,1123.81,3
6354.67,7354.67,6
6555.58,7555.58,5
1654.95,2654.95,10
4271.45,5271.45,2
1773.00,2773.00,5
1119.70,2119.70,2
7916.94,8916.94,8
5320.54,6320.54,9
6220.80,7220.80,4
6343.09,7343.09,9
3843.30,4843.30,3
8925.50,9925.50,6
4519.19,5519.19,3
7651.72,8651.72,2
8450.35,9450.35,2
6819.29,7819.29,7
8411.20,9411.20,5
3291.13,4291.13,5
2187.01,3187.01,9
